Id,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,mainDirector,numVotes,mainDirectorBirthYear,mainDirectorDeathYear,MainDirectorPrimaryProfession,mainWriter,mainWriterBirthYear,mainWriterDeathYear,MainWriterPrimaryProfession,titleLength,genres,genderVoters,worldPromotion,Downloads,prefVotersCountry,firstShownCountry,Cash,averageRating
251,tvSeries,National Endowment for the Arts: United States of Arts,National Endowment for the Arts: United States of Arts,0,2015,,,Kimberly A. Austin,9,,,"producer,writer,director",Kimberly A. Austin,,,"producer,writer,director",54,"['Documentary', 'Short', None]",2.0,0,1556,PN,MR,61794,6.3
252,movie,The Rosary Murders,The Rosary Murders,0,1987,,105.0,Fred Walton,1033,,,"director,writer,actor",William X. Kienzle,1928.0,2001.0,writer,18,"['Crime', 'Drama', 'Mystery']",467.0,1,868,WS,US,6451,5.8
253,tvEpisode,Phillip's Birthday Party,Phillip's Birthday Party,0,1977,,30.0,Hal Cooper,26,1923.0,2014.0,"director,producer,actor",Norman Lear,1922.0,,"writer,producer,production_manager",24,"['Comedy', None, None]",13.0,0,-1,PS,SR,4744,8.0
254,movie,Was ich bin sind meine Filme - Teil 2... nach 30 Jahren,Was ich bin sind meine Filme - Teil 2... nach 30 Jahren,0,2010,,98.0,Christian Weisenborn,7,,,"director,writer,cinematographer",Christian Weisenborn,,,"director,writer,cinematographer",55,"['Documentary', None, None]",7.0,1,5840,TN,AR,19953,6.2
255,short,Time to Go,Time to Go,0,2013,,9.0,Bill Christensen,7,,,"actor,writer,editor",Bill Christensen,,,"actor,writer,editor",10,"['Action', 'Short', 'Thriller']",3.0,0,1782,ZW,MK,47027,6.1
256,short,Private Sun,Private Sun,0,2013,,25.0,Rami Musa Alayan,10,,,"writer,producer,director",Rami Musa Alayan,,,"writer,producer,director",11,"['Drama', 'Short', None]",7.0,0,4069,AM,AM,60128,7.5
257,movie,Chin Chin the Drunken Bum,Chin chin el Teporocho,0,1976,,102.0,Gabriel Retes,14,1947.0,,"actor,director,producer",Armando Ramirez,1951.0,,"writer,actor,director",22,"['Drama', None, None]",6.0,1,6929,WS,VU,29103,7.1
258,movie,Swiadek koronny,Swiadek koronny,0,2007,,97.0,Jacek Filipiak,561,1967.0,,"director,writer,assistant_director",Artur Kowalewski,,,"producer,miscellaneous,writer",15,"['Action', 'Crime', 'Drama']",246.0,0,3862,AS,JO,219,5.2
259,tvMovie,A Colder Kind of Death,A Colder Kind of Death,0,2001,,90.0,Brad Turner,141,,,"director,producer,assistant_director",Gail Bowen,1942.0,,writer,22,"['Crime', 'Drama', 'Mystery']",45.0,1,2568,DO,BT,13959,5.5
260,tvEpisode,Nichts als Lügen,Nichts als Lügen,0,2008,,48.0,Jan Ruzicka,6,1959.0,,"director,assistant_director,actor",Elke Schuch,1974.0,,writer,16,"['Comedy', 'Crime', 'Drama']",2.0,0,-1,AO,PN,22926,6.9
261,tvEpisode,An Autumn Shroud,An Autumn Shroud,0,1996,,95.0,Richard Standeven,103,,,"director,production_manager,miscellaneous",Malcolm Bradbury,1932.0,2000.0,"writer,miscellaneous",16,"['Crime', 'Drama', 'Mystery']",51.0,1,8801,CD,SI,58128,7.9
262,tvEpisode,Poker/Divorce,Poker/Divorce,0,2010,,24.0,Louis C.K.,883,1967.0,,"writer,producer,actor",Louis C.K.,1967.0,,"writer,producer,actor",13,"['Comedy', 'Drama', None]",788.0,0,127,MY,IL,56134,8.0
263,tvEpisode,Tino's Dad,Tino's Dad,0,2004,,,Steve Lyons,9,,,"director,animation_department,art_department",Doug Langdale,1969.0,,"writer,miscellaneous,producer",10,"['Animation', 'Comedy', 'Family']",1.0,1,8539,SV,IE,26512,8.2
264,movie,Star Crossed,Star Crossed,0,2009,,100.0,Mark Heller,433,1978.0,,"director,miscellaneous,actor",Neil Jackson,1976.0,,"actor,writer,producer",12,"['Drama', 'Romance', 'Sport']",22.0,1,9018,HK,CA,21500,5.8
265,movie,Quando os Deuses Adormecem,Quando os Deuses Adormecem,0,1972,,82.0,José Mojica Marins,27,1936.0,,"actor,director,writer",Rubens Francisco Luchetti,,,"writer,actor,producer",26,"['Horror', None, None]",2.0,0,9298,BB,GA,28111,6.1
266,tvEpisode,M.I.A.,M.I.A.,0,2009,,43.0,John T. Kretchmer,22,1954.0,,"director,producer,assistant_director",Tanya Biank,,,"writer,miscellaneous,actress",6,"['Drama', 'Romance', 'War']",8.0,1,4798,PT,NG,32839,8.6
267,movie,Politics,Politics,0,1931,,73.0,Charles Reisner,184,1887.0,1962.0,"director,actor,writer",Zelda Sears,1873.0,1935.0,"writer,actress,miscellaneous",8,"['Comedy', 'Romance', None]",175.0,0,-1,MR,NL,29626,6.3
268,short,One Minute,One Minute,0,2011,,2.0,Dutch Merrick,5,1969.0,,"art_department,director,producer",Dutch Merrick,1969.0,,"art_department,director,producer",10,"['Short', 'War', None]",3.0,0,8706,TZ,GI,59556,10.0
269,tvSeries,Teen Titans,Teen Titans,0,2003,2006.0,30.0,Christopher Berkeley,21649,,,"art_department,director,assistant_director",George Pérez,1954.0,,"writer,miscellaneous,art_department",11,"['Action', 'Adventure', 'Animation']",11776.0,1,3190,SR,HK,29085,7.8
270,short,The Suit Case,The Suit Case,0,2007,,11.0,Thad Reid,15,,,"editor,director,writer",Oliver Lidert,,,writer,13,"['Crime', 'Drama', 'Short']",7.0,0,1736,SS,AG,22108,7.9
271,short,Illusion,Illusion,0,1975,,12.0,Frédéric Back,261,1924.0,2013.0,"art_department,director,animation_department",Frédéric Back,1924.0,2013.0,"art_department,director,animation_department",8,"['Animation', 'Short', None]",99.0,1,6055,NE,VA,46990,7.5
272,movie,Blue Velvet Revisited,Blue Velvet Revisited,0,2016,,86.0,Peter Braatz,66,1959.0,,"director,editor,cinematographer",Peter Braatz,1959.0,,"director,editor,cinematographer",21,"['Documentary', 'Music', None]",10.0,1,3638,TT,HR,11119,7.1
273,tvEpisode,New Year's Evil,New Year's Evil,0,2016,,42.0,Charlie Mysak,10,,,"director,camera_department,cinematographer",Tricia Regan,,,"editorial_department,producer,writer",15,"['Crime', 'Documentary', None]",8.0,1,1176,CL,DM,34506,8.5
274,movie,Civil Brand,Civil Brand,0,2002,,95.0,Neema Barnette,616,1949.0,,"director,producer",Preston A. Whitmore II,1962.0,,"writer,producer,director",11,"['Crime', 'Drama', 'Thriller']",174.0,1,-1,RU,KR,58288,5.2
275,tvEpisode,The Dogs of War,The Dogs of War,0,1999,,46.0,Avery Brooks,774,1948.0,,"actor,director,music_department",Gene Roddenberry,1921.0,1991.0,"writer,producer,miscellaneous",15,"['Action', 'Adventure', 'Drama']",713.0,0,2968,DO,HM,38606,8.4
276,short,Absolute Debauchery,Absolute Debauchery,0,2008,,25.0,Chris O'Neill,18,,,"actor,writer,director",Chris O'Neill,,,"actor,writer,director",19,"['Crime', 'Short', None]",1.0,0,6596,GW,DK,26273,7.5
277,short,The Guardian,The Guardian,0,2012,,,Joseph Marconi,6,,,"writer,director,producer",Joseph Marconi,,,"writer,director,producer",12,"['Drama', 'Romance', 'Short']",3.0,0,-1,DO,BM,17578,5.8
278,tvSeries,Lidsville,Lidsville,0,1971,1973.0,,Tony Charmoli,289,1922.0,,"director,miscellaneous,producer",Marty Krofft,1937.0,,"producer,writer,miscellaneous",9,"['Adventure', 'Comedy', 'Family']",142.0,1,5935,KH,MM,53793,6.9
279,movie,An Almost Perfect Wedding,Eine fast perfekte Hochzeit,0,1999,,95.0,Reinhard Schwabenitzky,89,1947.0,,"director,writer,producer",Reinhard Schwabenitzky,1947.0,,"director,writer,producer",27,"['Comedy', None, None]",29.0,1,-1,ID,VU,59561,5.8
280,tvMovie,Do You Take This Stranger?,Do You Take This Stranger?,0,1971,,100.0,Richard T. Heffron,15,1930.0,2007.0,"director,writer,producer",Douglas Heyes,1919.0,1993.0,"writer,producer,director",26,"['Drama', None, None]",4.0,1,3580,TN,SN,48803,7.1
281,short,Slough Poem 1,Slough Poem 1,0,2006,,3.0,Anders Bramsen,28,1974.0,,"editor,editorial_department,actor",Anders Bramsen,1974.0,,"editor,editorial_department,actor",13,"['Drama', 'Short', None]",22.0,1,-1,CI,IS,52235,7.2
282,tvEpisode,The Reluctant Millionaires,The Reluctant Millionaires,0,1988,,,Martin Dennis,83,,,"director,production_manager,miscellaneous",Jeremy Lloyd,1930.0,2014.0,"writer,actor,miscellaneous",26,"['Comedy', 'History', 'War']",11.0,1,5320,AS,KZ,25207,8.0
283,videoGame,Destiny: Rise of Iron,Destiny: Rise of Iron,0,2016,,,Christopher Barrett,301,,,"director,producer",Christine Thompson,,,writer,21,"['Action', 'Adventure', 'Sci-Fi']",48.0,0,1352,GH,PS,49540,8.0
284,movie,To koritsi tou '17,To koritsi tou '17,0,1969,,95.0,Petros Lykas,17,,,"editor,director,assistant_director",Petros Lykas,,,"editor,director,assistant_director",18,"['Drama', None, None]",10.0,1,9263,RE,VA,7676,6.2
285,tvEpisode,Priester in Gefahr,Priester in Gefahr,0,1999,,,Peter Carpentier,20,,,"director,assistant_director,actor",Peter Hajek,1941.0,,"writer,producer,director",18,"['Action', 'Crime', 'Mystery']",0.0,1,5741,TW,ID,4996,6.5
286,tvEpisode,The Search,The Search,0,1962,,60.0,John Brahm,12,1893.0,1982.0,"director,assistant_director,production_manager",Reginald Rose,1920.0,2002.0,"writer,producer",10,"['Drama', None, None]",3.0,1,4040,GI,ML,20967,8.2
287,movie,Isini chamovidnen mtidan,Isini chamovidnen mtidan,0,1954,,95.0,Nikoloz Sanishvili,28,1903.0,1995.0,"director,writer,actor",Akaki Beliashvili,,,writer,24,"['Adventure', 'Drama', 'Romance']",6.0,0,3225,PT,BG,26013,7.3
288,movie,Cast Away,Cast Away,0,2017,,90.0,Vitaliy Versace,8,1979.0,,"producer,director,actor",Vitaliy Versace,1979.0,,"producer,director,actor",9,"['Adventure', 'Drama', None]",3.0,1,8459,VG,BA,19050,5.1
289,tvEpisode,Duane Barry,Duane Barry,0,1994,,45.0,Chris Carter,3269,1956.0,,"writer,producer,director",Chris Carter,1956.0,,"writer,producer,director",11,"['Drama', 'Mystery', 'Sci-Fi']",2847.0,1,5897,PY,GB,18963,8.8
290,short,Pristine Books,Pristine Books,0,2003,,7.0,Adam Arkin,59,1956.0,,"actor,director,producer",Felix Stacia,,,writer,14,"['Drama', 'Short', None]",8.0,1,8852,NC,VN,13816,4.5
291,tvSeries,Flipper,Flipper,0,1995,,60.0,Rob Stewart,801,,,"director,producer",Ricou Browning,1930.0,,"writer,director,camera_department",7,"['Adventure', 'Drama', 'Family']",711.0,0,5179,OM,CR,34254,5.4
292,tvEpisode,Hyde,Hyde,0,2007,,53.0,Matt Lipsey,171,,,"director,camera_department,miscellaneous",Steven Moffat,1961.0,,"writer,producer,miscellaneous",4,"['Crime', 'Horror', 'Sci-Fi']",138.0,1,8189,ER,HR,26396,8.2
293,short,Our War,Our War,0,2017,,25.0,John David Mayo,14,,,"writer,director,producer",Steven Hancock,,,"actor,writer,producer",7,"['Drama', 'Short', None]",9.0,1,-1,GE,BD,45185,8.4
294,movie,Commit.,Commit.,0,2007,,90.0,Mickey Blaine,51,1974.0,,"actor,producer,director",Mickey Blaine,1974.0,,"actor,producer,director",7,"['Comedy', 'Drama', None]",12.0,0,2990,KM,GB,59745,6.8
295,movie,Academy,Academy,0,2007,,111.0,Gavin Youngs,6,,,"director,writer,production_designer",Gavin Youngs,,,"director,writer,production_designer",7,"['Drama', None, None]",5.0,1,2028,PF,DZ,42283,4.5
296,tvSeries,El-Hesaab Yegmaa,El-Hesaab Yegmaa,0,2017,2017.0,,Hani Khalifa,659,1970.0,,"actor,director,assistant_director",Eyaad Abdel Mageed,,,writer,16,"['Drama', None, None]",58.0,0,9465,TC,AE,23833,5.0
297,short,The Separation,The Separation,0,2003,,9.0,Robert Morgan,498,1974.0,,"director,writer,animation_department",Robert Morgan,1974.0,,"director,writer,animation_department",14,"['Animation', 'Drama', 'Horror']",297.0,1,-1,MY,GM,23199,7.4
298,tvSeries,Eterna Magia,Eterna Magia,0,2007,,45.0,Natália Grimberg,44,,,"director,actress,writer",Júlio Fischer,,,writer,12,"['Drama', 'Romance', None]",42.0,1,5803,LT,TT,4764,4.8
299,movie,Prem Nazirine Kanmanilla,Prem Nazirine Kanmanilla,0,1983,,120.0,Lenin Rajendran,10,1952.0,,"director,writer,producer",Vaikom Chandrashekharan Nair,,,"writer,actor",24,"['Drama', None, None]",9.0,0,2035,PL,TH,11012,6.5
300,tvEpisode,Episode #1.19,Episode #1.19,0,2012,,39.0,Sarmad Sultan Khoosat,13,,,"director,actor",Zakir Ahmed,,,writer,13,"['Drama', 'Romance', None]",6.0,0,-1,IR,DZ,25437,7.6
301,tvSeries,The Fanelli Boys,The Fanelli Boys,0,1990,1991.0,30.0,Gary Brown,38,,,"director,producer,editorial_department",Barry Fanaro,,,"producer,writer,miscellaneous",16,"['Comedy', None, None]",11.0,1,958,LK,IM,10994,7.6
302,tvEpisode,Stop the Clock!,Stop the Clock!,0,1987,,23.0,Paul Schibli,7,,,"animation_department,art_department,director",Kevin Gillis,,,"producer,composer,writer",15,"['Animation', 'Comedy', 'Drama']",3.0,1,3518,GD,SY,878,7.8
303,movie,Demon Warrior Koji,Kairaku Satsujin Chousakan Kouji,1,1999,,120.0,Yasunori Urata,20,,,"animation_department,director,art_department",Takao Kawaguchi,,,"writer,miscellaneous",32,"['Adult', 'Animation', 'Fantasy']",14.0,0,5883,GN,GP,49025,6.3
304,tvEpisode,Magic Bonding,Magic Bonding,0,2005,,24.0,Iginio Straffi,12,,,"writer,producer,director",Francesco Artibani,,,"writer,art_department,miscellaneous",13,"['Action', 'Adventure', 'Animation']",7.0,0,1321,KY,SG,26578,8.6
305,short,The Boy Scout,The Boy Scout,0,2002,,14.0,Ward Roberts,37,1978.0,,"actor,director,writer",Mark Henein,,,"producer,actor,writer",13,"['Adventure', 'Comedy', 'Family']",18.0,0,4453,BQ,AL,13145,6.9
306,tvSeries,Hancock,Hancock,0,1961,,25.0,Duncan Wood,109,1925.0,1997.0,"producer,director",Ray Galton,1930.0,,"writer,producer,actor",7,"['Comedy', None, None]",22.0,1,9214,UA,BZ,14663,8.2
307,movie,Pension,Pension,0,1984,,,Rafiqul Bari Chowdhury,11,,2005.0,"cinematographer,director,actor",Habibul Hasan,,,writer,7,"['Drama', 'Family', None]",0.0,0,1096,EH,SA,15752,8.4
308,tvEpisode,No Stranger to Scandal,No Stranger to Scandal,0,2015,,25.0,Don Roos,23,1955.0,,"writer,director,miscellaneous",Lisa Kudrow,1963.0,,"actress,writer,producer",22,"['Comedy', None, None]",18.0,1,8104,HT,DE,54158,7.5
309,short,NabelFabel,NabelFabel,0,1984,,4.0,Mara Mattuschka,32,1959.0,,"director,writer,editor",Mara Mattuschka,1959.0,,"director,writer,editor",10,"['Short', None, None]",22.0,1,5517,CC,BB,18784,6.4
310,short,My Lover Never Came,My Lover Never Came,0,2017,,17.0,Moe Zarchi,6,,,"director,writer,camera_department",Moe Zarchi,,,"director,writer,camera_department",19,"['Drama', 'Fantasy', 'Mystery']",4.0,0,8769,UA,KN,12387,7.8
311,tvEpisode,And the Wall Came Tumbling Down,And the Wall Came Tumbling Down,0,1984,,,Paul Annett,79,1937.0,2017.0,"director,producer,writer",John Peacock,1945.0,2017.0,"writer,miscellaneous,soundtrack",31,"['Drama', 'Horror', 'Mystery']",76.0,0,2215,ET,BD,42592,6.3
312,tvEpisode,Mother Mae-Eye,Mother Mae-Eye,0,2005,,24.0,Ben Jones,134,,,"director,art_department,producer",David Slack,1972.0,,"producer,writer,miscellaneous",14,"['Action', 'Adventure', 'Animation']",9.0,1,8118,GG,UG,3474,6.7
313,movie,Play Dirty,Play Dirty,0,2018,,23.0,John Karsko,12,,,"writer,producer,director",John Karsko,,,"writer,producer,director",10,"['Action', 'Comedy', 'Crime']",3.0,0,3933,HN,SZ,53911,7.7
314,movie,Lulu and Jimi,Lulu und Jimi,0,2009,,94.0,Oskar Roehler,288,1959.0,,"writer,director,producer",Oskar Roehler,1959.0,,"writer,director,producer",13,"['Drama', 'Music', 'Romance']",115.0,1,2114,JM,KI,45312,5.1
315,tvEpisode,Kaakkois-Aasia,Kaakkois-Aasia,0,2009,,55.0,Tuomas Milonoff,10,1974.0,,"director,producer,cinematographer",Tuomas Milonoff,1974.0,,"director,producer,cinematographer",14,"['Documentary', None, None]",4.0,1,385,BM,BT,30623,9.0
316,movie,Stowaway,Stowaway,0,1932,,54.0,Phil Whitman,7,1893.0,1935.0,"writer,director,cinematographer",Norman Springer,1888.0,1974.0,writer,8,"['Drama', 'Romance', None]",3.0,0,5894,FM,SI,7042,6.2
317,movie,"Paradise, Texas","Paradise, Texas",0,2005,,90.0,Lorraine Senna,137,,,"director,assistant_director,producer",Joe Conway,,,"writer,miscellaneous",15,"['Drama', None, None]",43.0,0,-1,KM,MK,56023,5.7
318,tvMovie,Message from Nam,Message from Nam,0,1993,,175.0,Paul Wendkos,284,1925.0,2009.0,"director,producer,editor",Danielle Steel,1947.0,,writer,16,"['Drama', 'Romance', None]",96.0,0,9053,BD,SZ,1439,6.2
319,movie,Girl Stroke Boy,Girl Stroke Boy,0,1971,,86.0,Bob Kellett,44,1927.0,2012.0,"director,producer,writer",Caryl Brahms,1901.0,1982.0,"writer,music_department,soundtrack",15,"['Comedy', 'Drama', 'Romance']",10.0,1,2912,BL,AQ,15434,6.6
320,movie,Kodiyettam,Kodiyettam,0,1977,,137.0,Adoor Gopalakrishnan,73,1941.0,,"director,writer,producer",Adoor Gopalakrishnan,1941.0,,"director,writer,producer",10,"['Drama', None, None]",32.0,1,4028,PT,FJ,7061,7.4
321,tvEpisode,Episode #2.9,Episode #2.9,0,2014,,,Dusan Milic,5,,,"writer,director,assistant_director",Petar Mihajlovic,,,"writer,actor",12,"['Drama', 'Music', None]",1.0,1,3900,ZM,FJ,60374,7.4
322,movie,Deranged,Deranged,0,2012,,78.0,Neil Jones,289,1980.0,,"producer,director,writer",Óscar Carrión,,,"assistant_director,miscellaneous,writer",8,"['Horror', None, None]",118.0,1,8383,IO,OM,31619,3.0
323,video,Get a Life,Get a Life,0,2006,,72.0,Toby Ross,92,,,"director,editor,writer",Toby Ross,,,"director,editor,writer",10,"['Comedy', None, None]",63.0,1,6475,AD,LB,36182,3.5
324,video,Broken,Broken,1,2007,,,Dave Navarro,16,1967.0,,"music_department,producer,actor",Dave Navarro,1967.0,,"music_department,producer,actor",6,"['Adult', 'Drama', None]",4.0,0,6932,BB,TR,3786,6.4
325,short,The Rescuer Hero,The Rescuer Hero,0,2009,,5.0,Christopher Broe,25,,,"director,writer,actor",Christopher Broe,,,"director,writer,actor",16,"['Short', None, None]",18.0,0,-1,CV,BT,2650,8.7
326,tvEpisode,Zoe & the Interviewer,Zoe & the Interviewer,0,2016,,20.0,Henry Chan,8,,,"director,editor,production_manager",Erica Montolfo-Bura,,,"producer,miscellaneous,writer",21,"['Comedy', None, None]",6.0,0,6753,ZM,KP,16810,7.0
327,tvSeries,Loonies,Loonies,0,2014,,,Reuben Rox,145,1978.0,,"actor,producer,director",Reuben Rox,1978.0,,"actor,producer,director",7,"['Horror', 'Thriller', None]",64.0,0,192,HN,ML,41970,7.1
328,short,The Maildog,The Maildog,0,2014,,4.0,Ryan Charmatz,5,,,"sound_department,director,writer",Ryan Charmatz,,,"sound_department,director,writer",11,"['Animation', 'Comedy', 'Family']",0.0,1,8936,SK,AS,14334,8.2
329,tvEpisode,Ren's Pecs/An Abe Divided,Ren's Pecs/An Abe Divided,0,1993,,23.0,Bob Camp,46,1956.0,,"art_department,director,writer",Jim Gomez,,,"animation_department,director,writer",25,"['Animation', 'Comedy', None]",16.0,1,6655,MA,NF,7212,7.3
330,short,Los asesinos,Los asesinos,0,2011,,25.0,Rodrigo Dimaté,6,,,"producer,director,writer",Rodrigo Dimaté,,,"producer,director,writer",12,"['Action', 'Crime', 'Short']",3.0,0,3300,BO,GR,21947,8.5
331,tvEpisode,Rachel in Danger: Part 3,Rachel in Danger: Part 3,0,1978,,25.0,Waris Hussein,12,1938.0,,"director,actor,writer",John Bowen,,,"writer,producer",24,"['Drama', 'Thriller', None]",4.0,0,6564,NI,KZ,14468,6.7
332,movie,Emanuelle Around the World,Emanuelle - Perché violenza alle donne?,0,1977,,97.0,Joe D'Amato,653,1936.0,1999.0,"director,cinematographer,camera_department",Gianfranco Clerici,,,"writer,assistant_director,actor",39,"['Adventure', 'Drama', 'Horror']",217.0,0,7937,PH,TM,45349,5.0
333,movie,Viva JKT48,Viva JKT48,0,2014,,82.0,Awi Suryadi,8,,,"director,writer",Cassandra Massardi,,,"writer,director",10,"['Comedy', 'Drama', None]",6.0,1,6931,LI,KP,28616,7.9
334,tvSeries,Mount Hideaway,Mount Hideaway,0,2017,,60.0,Brett Monk,10,,,"actor,camera_department,director",Mark Arnoldi,,,"actor,writer,producer",14,"['Drama', None, None]",1.0,0,-1,MO,PE,59411,5.3
335,tvMovie,Direct from Pluto: First Encounter,Direct from Pluto: First Encounter,0,2015,,,Shelley Ayres,23,,,"producer,director,writer",Shelley Ayres,,,"producer,director,writer",34,"['Documentary', None, None]",11.0,1,-1,US,HM,59815,6.7
336,tvEpisode,Jumping Off the Wagon,Jumping Off the Wagon,0,1993,,,John Whitesell,7,,,"director,producer",Don Reo,,,"writer,producer,miscellaneous",21,"['Comedy', None, None]",2.0,1,9722,SS,CC,48408,7.8
337,tvEpisode,Furankufuruto e,Furankufuruto e,0,1974,,,Isao Takahata,17,1935.0,2018.0,"director,writer,producer",Johanna Spyri,1827.0,1901.0,writer,15,"['Adventure', 'Animation', 'Drama']",0.0,0,4783,MS,CI,43787,6.2
338,movie,An Innocent Affair,An Innocent Affair,0,1948,,90.0,Lloyd Bacon,178,1889.0,1955.0,"director,actor,writer",Lou Breslow,1900.0,1987.0,"writer,producer,director",18,"['Comedy', None, None]",93.0,1,9188,LA,IQ,47503,6.3
339,movie,Des bobines et des hommes,Des bobines et des hommes,0,2017,,67.0,Charlotte Pouch,6,,,"director,actress,writer",Charlotte Pouch,,,"director,actress,writer",25,"['Documentary', None, None]",5.0,1,7053,PL,IS,35286,7.3
340,tvEpisode,& Knuckles,& Knuckles,0,2018,,,Tyson Hesse,1137,,,"animation_department,director,writer",Tyson Hesse,,,"animation_department,director,writer",10,"['Adventure', 'Animation', 'Comedy']",384.0,0,6034,JM,SS,55197,4.5
341,tvEpisode,Miss Piggy and Kermit Talk Weddings and Muppets Most Wanted Plus the Swedish Chef Appears,Miss Piggy and Kermit Talk Weddings and Muppets Most Wanted Plus the Swedish Chef Appears,0,2014,,,Adam Feinsilver,21,,,"producer,director,writer",Adam Feinsilver,,,"producer,director,writer",89,"['Talk-Show', None, None]",20.0,0,7146,AO,RE,29671,6.6
342,tvEpisode,Episode #1.3,Episode #1.3,0,1999,,,Craig R. Baxley,108,1949.0,,"stunts,assistant_director,director",Stephen King,1947.0,,"writer,producer,actor",12,"['Drama', 'Fantasy', 'Horror']",20.0,1,1495,BJ,MG,28111,7.5
343,tvEpisode,Joan's Big Romance,Joan's Big Romance,0,1958,,,Al De Caprio,13,1916.0,2000.0,"director,producer",Nat Hiken,1914.0,1968.0,"writer,producer,miscellaneous",18,"['Comedy', 'Family', None]",12.0,1,2968,CO,LU,9963,7.7
344,tvMovie,Maite was hier,Maite was hier,0,2009,,40.0,Boudewijn Koole,51,,,"producer,director,writer",Boudewijn Koole,,,"producer,director,writer",14,"['Drama', None, None]",38.0,0,4244,VN,KY,25741,7.2
345,movie,Cuesta abajo,Cuesta abajo,0,1934,,74.0,Louis J. Gasnier,46,1875.0,1963.0,"director,writer,producer",Alfredo Le Pera,1900.0,1935.0,"soundtrack,writer",12,"['Drama', 'Musical', None]",24.0,1,4721,TZ,AT,4738,7.5
346,movie,Teddy boy... agapi mou,Teddy boy... agapi mou,0,1965,,80.0,Giannis Dalianidis,262,1923.0,2010.0,"director,writer,actor",Gerasimos Stavrou,,,writer,22,"['Comedy', None, None]",44.0,1,2758,CF,HU,51829,5.8
347,tvEpisode,La verdad por delante,La verdad por delante,0,2017,,,Manuel Gómez Pereira,14,1958.0,,"director,writer,assistant_director",Estíbaliz Burgaleta,,,"writer,director",21,"['Drama', 'War', None]",3.0,0,2165,GI,IN,40524,7.8
348,short,Riley,Riley,0,2015,,8.0,Aaron Daniel Jacob,43,,,"soundtrack,actor,writer",Aaron Daniel Jacob,,,"soundtrack,actor,writer",5,"['Comedy', 'Horror', 'Short']",21.0,1,7678,BB,TR,12169,7.2
349,tvEpisode,Lebkuchen,Lebkuchen,0,2007,,,Herwig Fischer,5,,,director,Michael Meisheit,1972.0,,"writer,actor",9,"['Drama', 'Family', None]",0.0,0,6590,TH,SC,27771,4.8
350,movie,90° South,90° South,0,1933,,72.0,Herbert G. Ponting,113,1870.0,1935.0,"director,cinematographer,writer",Herbert G. Ponting,1870.0,1935.0,"director,cinematographer,writer",9,"['Documentary', None, None]",9.0,1,649,MR,KN,16397,7.5
351,tvEpisode,Desecrated,Desecrated,0,2010,,43.0,Garth Maxwell,213,1963.0,,"director,writer,producer",Kenneth Biller,,,"producer,writer,miscellaneous",10,"['Action', 'Adventure', 'Drama']",89.0,0,523,PM,RU,30613,7.9
352,tvEpisode,The Singapore File,The Singapore File,0,1969,,51.0,Robert Gist,93,1917.0,1998.0,"director,actor",Leonard Freeman,1920.0,1974.0,"writer,producer,actor",18,"['Crime', 'Drama', 'Mystery']",61.0,0,3270,LV,TN,32421,7.1
353,movie,Seeds of Freedom,Seeds of Freedom,0,1943,,67.0,Hans Burger,33,1909.0,1990.0,"director,writer,producer",N. Agedzanov,,,writer,16,"['Drama', 'War', None]",3.0,0,8212,KP,VC,3843,6.9
354,tvEpisode,Henry Waxman,Henry Waxman,0,2009,,,Chuck O'Neil,18,,,director,Rory Albanese,1977.0,,"producer,writer,actor",12,"['Comedy', 'News', 'Talk-Show']",6.0,1,5029,CC,TV,59109,5.2
355,movie,The Midnight Express,The Midnight Express,0,1924,,56.0,George W. Hill,18,1895.0,1934.0,"cinematographer,director,writer",George W. Hill,1895.0,1934.0,"cinematographer,director,writer",20,"['Action', 'Adventure', 'Crime']",8.0,0,1960,TM,BD,1271,6.0
356,tvMiniSeries,Culpa - Niemand ist ohne Schuld,Culpa - Niemand ist ohne Schuld,0,2017,,,Jano Ben Chaabane,30,,,"director,writer,actor",Bernd Heiber,1964.0,,"writer,director,producer",31,"['Crime', None, None]",13.0,1,9559,MO,MD,61198,6.9
357,tvEpisode,The Sultan's Finger: Live,The Sultan's Finger: Live,0,2010,,12.0,David Wain,61,1969.0,,"writer,actor,producer",Rob Corddry,1971.0,,"actor,writer,producer",25,"['Comedy', None, None]",0.0,1,8291,LY,GI,55766,8.4
358,tvEpisode,Teller Plays with a Full Deck,Teller Plays with a Full Deck,0,2015,,,Dennis Rosenblatt,42,,,"director,editor,assistant_director",Teller,1948.0,,"writer,producer,actor",29,"['Comedy', 'Game-Show', 'Mystery']",22.0,0,8008,EH,NF,12056,7.0
359,tvEpisode,Whisper of the Heart,Whisper of the Heart,0,2014,,,Doug Walker,8,1981.0,,"writer,producer,editor",Doug Walker,1981.0,,"writer,producer,editor",20,"['Documentary', None, None]",3.0,1,7308,GM,DZ,13609,6.5
360,tvSeries,The Nation's Health,The Nation's Health,0,1983,,95.0,Les Blair,10,1941.0,,"director,writer,producer",G.F. Newman,1946.0,,"writer,producer,director",19,"['Drama', None, None]",5.0,0,8814,FK,LV,10012,6.3
361,tvEpisode,Episode #3.1,Episode #3.1,0,2008,,,Xawery Zulawski,5,1971.0,,"director,actor,writer",Marek Kreutz,1952.0,,writer,12,"['Crime', None, None]",1.0,1,3463,NG,SH,32204,9.4
