,Unnamed: 0,title,text
36,36,Abbott State Forest,"Abbott State Forest is a protected area located in Concord, New Hampshire, on the west side of Lake View Drive. It is bordered to the east, across Lake View Drive, by Penacook Lake water supply land. Abbott State Forest was reported to be producing white spruce seed in 1982. See also List of New Hampshire state forests References Category:New Hampshire state forests Category:Concord, New Hampshire"
37,37,Abe Munro,"Henry Gordon ""Abe"" Munro (8 December 1896 – 21 November 1974) was a New Zealand rugby union player. A hooker, Munro represented and at a provincial level. He was a member of the New Zealand national side, the All Blacks, on their 1924 tour of New South Wales and 1924–25 tour of Britain, Ireland, France and Canada. On those tours, he played nine matches for the All Blacks, but did not appear in any internationals. References Category:1896 births Category:1974 deaths Category:Rugby union players from Invercargill Category:New Zealand rugby union players Category:New Zealand international rugby union players Category:Canterbury rugby union players Category:Otago rugby union players Category:Rugby union hookers Category:University of Canterbury alumni Category:University of Otago alumni Category:New Zealand engineers"
38,38,Howard Bay (designer),"Howard Bay (May 3, 1912– November 21, 1986, New York City) was an American scenic, lighting and costume designer for stage, opera and film. He won the Tony Award for Best Scenic Design twice. Career Howard Bay was born in Centralia, Washington to parents who were teachers; his father was an art teacher, his mother an English teacher. Over 50 years he designed the sets and lighting, as well as occasionally the costumes, for some 105 Broadway plays and musicals as well as operas and television shows. Bay designed sets for the Federal Theatre Project in New York City, for four operas for the National Orchestral Association, performed at Carnegie Hall, 1939–40 and for the operas Capriccio and Natalya Petrovna for the New York City Opera, 1965. Bay first designed the sets for Broadway for the play Chalk Dust in 1936. In the field of musicals, he designed, among others, sets and lighting for Show Boat (1946), The Music Man (1957) and Finian's Rainbow (1955 [sets], 1960). He designed the original sets, lighting and costumes for Man of La Mancha in 1965 and all revivals. For dramas, for example, he designed the sets and lighting for The Little Foxes (1967), My Mother, My Father and Me (1963), and Toys in the Attic (1960). For television he was the Art director for the Fred Waring Show, CBS, 1953–55; Somerset Maugham Theatre, CBS and NBC, 1954–56, and Mr. Broadway, CBS, 1964. He worked on the films The Exile (1947) and Up in Central Park (1948), as the production designer. He taught theater arts at Brandeis University for 14 years. Bay was president of United Scenic Artists for many years. Personal He married Ruth Jonas on November 23, 1932 and they had two children, Ellen and Timothy. He died of a myocardial infarction in 1986. Awards and nominations Tony Award Best Scenic Design - Cry for Us All (nominee) (1970) Tony Award Best Costume Design - Man of La Mancha (nominee) (1966) Tony Award Best Scenic Design - Man of La Mancha (winner) (1966) Tony Award Best Scenic Design (Play) - Toys in the Attic (winner) (1960) References External links Howard Bay designs and technical drawings, 1934-1985, held by the Billy Rose Theatre Division, New York Public Library for the Performing Arts Category:1912 births Category:1986 deaths Category:Drama Desk Award winners Category:Tony Award winners Category:American scenic designers"
39,39,Jackson Park (Chicago),"Jackson Park is a 500-acre (2 km²) park located at 6401 South Stony Island Avenue in the Woodlawn community on the South Side in Chicago, Illinois. It extends into the South Shore and Hyde Park nearby neighborhoods, bordering onto Lake Michigan and several other South Side neighborhoods. Named for Seventh President Andrew Jackson, it is one of two Chicago Park District parks with the name ""Jackson"", the other being Mahalia Jackson Park for the gospel music singer in the Auburn Gresham community on the far southwest side of Chicago. The parkland was first developed as the host site of the World's Columbian Exposition (Chicago World's Fair) in 1893, memorialized today by the Statue of The Republic. The Museum of Science and Industry resides in the remaining ""palace"" in the park from the Fair era, and a Japanese garden traces its history to the Fair. The park includes woodland trails, playing fields, a beach, a golf course, and a boat harbor. It is the potential future site of the Barack Obama Presidential Center and library. History Site of a World's Fair After the state legislature created the South Park Commission in 1869, the designers of New York's Central Park, Frederick Law Olmsted and Calvert Vaux, were hired to lay out the park (which included the Midway Plaisance and Washington Park). Lois Willie explained in her book Forever Open, Clear, and Free, ""Olmstead said Jackson Park should be water oriented, with a yacht harbor, winding walkways around the lagoons, small bridges, bathing pavilions, and plenty of space for boating."" However, their designs were not put into place at that time, and Jackson Park remained untouched until Chicago was chosen to host the World's Fair several years later. One of the landmarks that recalls the 1893 Columbian Exposition is the Statue of The Republic, only it is now a replica one-third the size of the original The Republic statue. The designers used the Statue of Liberty as inspiration when they were creating the original. Today the 1/3 size statue of The Republic stands at the site of the 1893 Expositions Administration Building. Known originally as ""South Park"", the landscape had eastern and western divisions connected by a grand boulevard named the Midway Plaisance. The eastern division became known as ""Lake Park""; however, in 1880 the commission asked the public to suggest official names for both the eastern and western divisions. The names ""Jackson"" and ""Washington"" were proposed. In the following year, Lake Park was renamed ""Jackson Park"" to honor Andrew Jackson (1767–1845), the seventh president of the United States. In 1890, Chicago won the honor of hosting the World's Columbian Exposition. In 1891, Jackson Park was selected as its site. Olmsted and Chicago's architect and planner, Daniel H. Burnham, with his partner John Wellborn Root, laid out the fairgrounds. A team of architects and sculptors created the ""White City"" of plaster buildings and artworks in Beaux-Arts style. The historic World's Fair opened to visitors on May 1, 1893. It was Root's last project, as he caught pneumonia and died in January 1891, two years before"
40,40,Power (Tower of Power album),"Power is a studio album by Tower of Power released in 1987 on the A&M Records-distributed Cypress Records label. It was released a year earlier with additional and/or different songs in Europe under the title T.O.P. (not to be confused with their 1993 album of the same name). This was the only album to feature vocalist Ellis Hall, a protégé of Ray Charles, who also plays keyboards and rhythm guitar. Hall was unique to TOP as he is thus far the only blind lead vocalist of the group. It also marked the final departure of original guitarist Willie Fulton, and the return of original bassist Francis ""Rocco"" Prestia. It also marks the debut of trumpeter Lee Thornburg, saxophonist Richard Elliot, and drummer Mick Mestek. Track listing US Version SIDE ONE Baby's Got the Power Credit Some Days Were Meant for Rain Boys Night Out SIDE TWO Ball and Chain Through Lovers' Eyes Count On Me On the One* Up Against Yourself* European Version as T.O.P. SIDE ONE Baby's Got the Power Ball and Chain Heartbreak in the Makin'** You Ought to Be Havin' Fun (1986 Version)** Boys Night Out SIDE TWO Credit Through Lovers' Eyes Some Days Were Meant for Rain Doggin' at the Cathouse** Count On Me (*) US Version only (**) European Version only Trivia ""Credit"" was one of the songs from the Dinosaur Tracks sessions. T.O.P. re-recorded it for this album. Also on the European version, they re-record their 1976 song ""You Ought to Be Havin' Fun"" which was originally released on Ain't Nothin' Stoppin' Us Now. Personnel Ellis Hall - lead vocals, keyboards, rhythm guitar Emilio Castillo - tenor saxophone, backing vocals Stephen ""Doc"" Kupka - baritone saxophone Greg Adams - trumpet, flugelhorn, backing vocals Francis Rocco Prestia - bass guitar Willie Fulton - lead guitar, backing vocals Lee Thornburg - trumpet, flugelhorn, vocals (lead on ""Ball And Chain"") Richard Elliot - alto saxophone, tenor saxophone, lyricon Mick Mestek - drums Stanley Benders - percussion on ""On The One"" Maxayn Lewis, Marilyn Scott, Patty Unatis- background vocals on ""On The One"" Category:1986 albums Category:Tower of Power albums"
41,41,Not Without Love,"Not Without Love is the second studio album from CCM musician Jimmy Needham. It was released on August 19, 2008 through Inpop Records in the United States. The album's lead single ""A Breath or Two"" was released prior to the album, and reached No. 11 on Christian contemporary hit radio. Musical style Similar to his last album, Speak, Jimmy Needham has frequently been compared to Jason Mraz in musical style, as well as John Mayer and Marc Broussard. Not Without Love'''s main genre is alternative CCM, although Needham takes influence from other styles such as rock and blues with a ""jazzy pop"" sound. Lyrics The lyrical songwriting in Not Without Love has often been noted as having ""clever wordplay"" similar to pop/jazz musician Jason Mraz. Needham was newly married when writing the album, and two songs were written about his wife Kelly Needham. ""Firefly"" is a lighthearted, ""ragtime style"" song about marriage, while ""Unfailing Love (Kelly's Song)"" is a ballad that Needham sang at his wedding, originally written as a proposal to Kelly. Promotion and release In promotion of the album, Not Without Love's first single, ""A Breath or Two"", was released to radios in mid-2008. The album was subsequently released on August 19, 2008 in the U.S. under the Inpop label. It debuted at number 8 on both the Christian AC Soundscan and Overall Christian Digital charts. Later in the year, Needham guested on Christian rock band BarlowGirl's Million Voices Tour along with Brooke Barrettsmith; the tour began on September 12 in Houston, Texas, and ran until mid-November 2008. ""A Breath or Two"" also garnered success, reaching #13 on R&R's Christian CHR radio chart by the week of September 4, and reached a peak of at least #11 through early 2009. The album's second single, ""Forgiven and Loved"", was released early in the year near the same time. Reception Not Without Love'' received generally positive reviews from critics. AllMusic reviewer Jared Johnson noted that Jimmy Needham ""stepped up his game"" with his second release, having better production quality than his debut album; Johnson claimed that ""Christian music lovers need a lot more like this"". Track listing References Category:2008 albums Category:Jimmy Needham albums Category:Inpop Records albums"
42,42,PRSD,"PRSD may refer to: The Social Democrat Radical Party in Chile, also known as Partido Radical Socialdemócrata Education Peace River School Division in Alberta, Canada Pearl River School District in Pearl River, New York, USA Pentucket Regional School District in West Newbury, Massachusetts, USA Pinelands Regional School District in Tuckerton, New Jersey, USA Pine-Richland School District in Richland Township, Pennsylvania, USA"
43,43,USS Woodrow R. Thompson,"USS Woodrow R. Thompson has been the name of more than one United States Navy ship, and may refer to: USS Woodrow R. Thompson (DE-451), a destroyer escort scheduled for construction during World War II but cancelled on 6 June 1944 USS Woodrow R. Thompson (DD-721), a destroyer launched in 1946 but never completed Category:United States Navy ship names"
44,44,Harold Hewitt (trade unionist),"Harold Hewitt (12 April 1899 – 15 November 1968) was a British trade unionist and politician. Born in Stoke-on-Trent, Hewitt entered the pottery industry and joined the National Society of Pottery Workers (NSPW) when he was 15. He later moved to work in Scotland, remaining with the NSPW, where he became branch secretary, then district secretary and eventually full-time district organiser and a member of the executive council. In 1947, Hewitt was elected as the general secretary of the NSPW, relocating back to Stoke. He also served as a Labour Party member of Stoke-on-Trent City Council, as a magistrate, on the Midland Regional Board for Industry and the board of the North Staffordshire University College. The NSPW offered lower membership rates to women, but also paid lower benefits to them. Hewitt justified this, claiming that women in the industry did ""not have the same responsibilities"" as men. Hewitt was elected to the General Council of the Trades Union Congress in 1952, and that year was also made an Officer of the Order of the British Empire. He retired in 1964, and died four years later. References Category:1899 births Category:1968 deaths Category:Councillors in Staffordshire Category:General Secretaries of the Ceramic and Allied Trades Union Category:Labour Party (UK) councillors Category:Members of the General Council of the Trades Union Congress Category:People from Stoke-on-Trent Category:Trade unionists from Staffordshire"
45,45,Henry Barnett,"Henry Barnett is the name of: Henry Barnett (banker) (1815–1896), English MP Henry Walter Barnett (1862–1934), Australian photographer and filmmaker Henry J. M. Barnett (1922–2016), Canadian medical researcher"
46,46,Omer N. Custer,"Omer Nixon Custer (December 25, 1873 – October 17, 1942) was an American politician, newspaper editor, and businessman. Life Born in Fayette County, Pennsylvania, Custer moved to Galesburg, Illinois where he owned the Galesburg Register-Mail newspaper. He was also president of the Galesburg National Bank and of the telephone company. Custer was a Republican. He served as Illinois Treasurer from 1925 to 1927 and 1929 to 1931. As time went on Omer Custer expanded his business enterprises in many fields of endeavor. The 1930-1931 edition of ""Who's Who in America"" included Custer, listed as the president of the First Galesburg National Bank, Purington Paving Brick Company, Western Illinois Ice Company, Hotel Custer Company; publisher of the Galesburg Register-Mail; and director of the Intra State Telephone Company, Illinois Light and Power Company, Galesburg Overall Company, Beatrice Creamery Company, and Western Investment Company. He was a member of the Masons, Elks, Rotary, Hamilton Club and Chicago Rod and Gun Club. He was also a trustee of Lombard College. Death Custer died in Galesburg, Illinois of a heart attack on October 17, 1942. His estate was valued at $1,169,704. Notes Category:1873 births Category:1942 deaths Category:People from Fayette County, Pennsylvania Category:People from Galesburg, Illinois Category:Businesspeople from Illinois Category:Editors of Illinois newspapers Category:Illinois Republicans Category:State treasurers of Illinois Category:Journalists from Pennsylvania Category:Journalists from Illinois"
47,47,Hydrophis brooki,"Hydrophis brookii is a species of venomous sea snake. Etymology The specific name, brookii, is in honor of British adventurer James Brooke. Geographic range H. brookii is found in the Indian Ocean (Malaysia, Vietnam, western Indonesia: Sumatra, Java, Kalimantan) and the Gulf of Thailand. References Further reading Boulenger GA (1896). Catalogue of the Snakes in the British Museum (Natural History). Volume III., Containing the Colubridæ (Opisthoglyphæ and Proteroglyphæ) ... London: Trustees of the British Museum (Natural History). (Taylor and Francis, printers). xiv + 727 pp. + Plates I-XXV. (Hydrophis brookii, pp. 282–283). Günther A (1872). ""On the Reptiles and Amphibians of Borneo"". Proc. Zool. Soc. London 1872: 586-600 + Plates XXXV-XL. (Hydrophis brookii, new species, p. 597, Figure 5). Kharin VE (1983). ""[A new species of the genus Hydrophis sensu lato (Serpentes, Hydrophiidae) from the North Australian Shelf ]"". Zoologicheskii Zhurnal 62 (11): 1751–1753. (in Russian). Kharin VE (2004). ""[A review of sea snakes of the genus Hydrophis sensu stricto (Serpentes, Hydrophiidae)]"". Biologiya Morya (Vladivostok) 30 (6): 447–454. (in Russian). Category:Sea snakes Category:Reptiles described in 1872"
48,48,List of Oricon number-one singles of 1976,"The highest-selling singles in Japan are ranked in the Oricon Singles Chart, which is published by Oricon Style magazine. The data are compiled by Oricon based on each singles' physical sales. This list includes the singles that reached the number one place on that chart in 1976. Oricon Weekly Singles Chart References Category:1976 in Japanese music Japan Oricon Category:Lists of number-one songs in Japan"
49,49,Tromakton,"Tromakton () is a Greek dance that usually precedes or follows a Tik. It is a fast dance which has a distinct double bounce which becomes more vigorous as the dance goes on. It is usually played before Atsiapat or Serra, because it has similar steps and it is like an introduction for these dances. See also Greek dances Greek music Category:Greek dances Category:Greek music"
50,50,Pui Pui (crocodile),"Pui Pui () is a female crocodile captured in Shan Pui River (山貝河) in Hong Kong on 10 June 2004 by the Agriculture, Fisheries and Conservation Department (AFCD) officers of Hong Kong. She was first transferred to Kadoorie Farm and Botanic Garden before being moved permanently to the Hong Kong Wetland Park on 15 August 2006. Fame and capture The saltwater crocodile has become a local celebrity since being spotted at Shan Pui River, Yuen Long on 2 November 2003. After several weeks of unsuccessful attempts by Australian crocodile hunter John Lever, and months of effort on the part of mainland Chinese experts to capture it, the reptile was trapped by Hong Kong's AFCD staff on 10 June 2004. The crocodile saga aroused wide public interest in wetland and wildlife conservation in Hong Kong. Name After a territory-wide naming contest with 1,600 entries, the crocodile was named ""Pui Pui"" – ""the precious one"", which is also a reference to Shan Pui River where it was found. In captivity She spent two years at Kadoorie Farm while her permanent home at the Hong Kong Wetland Park was being constructed. She moved to her home on 15 August 2006. After two weeks' observation in the indoor portion of her home, she was moved to the external pool where she could be visited by the public. Speaking after the arrival of the Pui Pui in the Wetland Park, the Hong Kong AFCD Assistant Director Mr Lay Chik-chuen said there was no need for people to rush to the Park to see her, as she was here to stay. ""As a celebrity croc, we believe Pui Pui's exhibition in the Wetland Park will promote public awareness of wetland conservation,"" he said. Hong Kong Wetland Park also sells stuffed crocodiles called ""Pui Pui"" as part of their merchandise. Pui Pui's Home On 29 August 2006 she was moved into her landscaped enclosure and can be easily viewed by the public. Pui Pui's Home was designed to provide the reptile with a healthy and comfortable living environment. The outdoor enclosure is about , of which 70% is pool area. With a maximum depth of one metre, the pool is landscaped with plants to provide sheltered areas, hiding places and basking areas for the reptile. Outdoor facilities include infra-red heaters, a heat pad and a weighing scale. Water in the pool is continuously circulated through a filtration system. Age and size Pui Pui was estimated to be about 4 years-old when she was captured in 2004, therefore suggesting that she was born in 2000. Measuring and weighing when she moved to her permanent home in August 2006, Pui Pui will grow to three metres when fully matured. The 72-square-meter outdoor enclosure in the Hong Kong Wetland Park is designed to accommodate her as she grows larger. Popular culture In October 2004 a bilingual children's book ""The Crocodile who wanted to be famous"" which is based on the life of Pui Pui was published by Sixth Finger Press and attracted widespread interest in both the Chinese and English media. References"
51,51,Richard Wilson (Irish politician),"Richard Wilson (died 20 February 1957) was an Irish politician and farmer. He was first elected to Dáil Éireann at the 1922 general election as a Farmers' Party Teachta Dála (TD) for the Kildare–Wicklow constituency. He was re-elected at the 1923 general election, this time representing the Wicklow constituency. He lost his seat at the June 1927 general election and was an unsuccessful candidate at the September 1927 general election. He was elected to the Seanad of the Irish Free State in 1928 as a Cumann na nGaedheal and later Fine Gael member. He remained a member until it was abolished in 1936. References Category:Year of birth missing Category:1957 deaths Category:Farmers' Party (Ireland) TDs Category:Irish farmers Category:Members of the 3rd Dáil Category:Members of the 4th Dáil Category:Members of the 1928 Seanad Category:Members of the 1931 Seanad Category:Members of the 1934 Seanad Category:People of the Irish Civil War (Pro-Treaty side) Category:Politicians from County Wicklow Category:Cumann na nGaedheal senators Category:Fine Gael senators"
52,52,Keith Marzullo,"Keith Marzullo is the inventor of Marzullo's algorithm, which is part of the basis of the Network Time Protocol and the Windows Time Service. In August 1, 2016 he became the Dean of the University of Maryland College of Information Studies after serving as the Director of the NITRD National Coordination Office. Prior to this he was a Professor in the Department of Computer Science and Engineering at University of California, San Diego. In 2011 he was inducted as a Fellow of the Association for Computing Machinery. Research RAMP (Reliable Adaptive Multipath Networks) GriPhyN (Master-worker computation in a wide-area network) MURI (Dependent failure models & Collaborative backup for withstanding network catastrophes) Mobility (Fault-tolerance for mobile agents & personal computational grids) Publications 1999 Walfredo Cirne and Keith Marzullo. The computational Co-op: Gathering clusters into a metacomputer. Proceedings 13th International Parallel Processing Symposium and 10th Symposium on Parallel and Distributed Processing (IPPS/SPDP 1999). IEEE Computer Society 1999, pp. 160–6. Los Alamitos, CA, USA. Meng-Jang Lin and Keith Marzullo. Directional gossip: gossip in a wide area network. Dependable Computing - EDDC-3. Third European Dependable Computing Conference. Proceedings (Lecture Notes in Computer Science Vol.1667). Springer-Verlag. 1999, pp. 364–79. Berlin, Germany. Chanathip Namprempre, Jeremy Sussman, and Keith Marzullo. Implementing causal logging using OrbixWeb interception. Proceedings of the Fifth USENIX Conference on Object-Oriented Technologies and Systems (COOTS'99). USENIX Assoc. 1999, pp. 57–67. Berkeley, CA, USA. Dag Johansen, Keith Marzullo, and Kåre Lauvset. An approach towards an agent computing environment. Proceedings. 19th IEEE International Conference on Distributed Computing Systems. Workshops on Electronic Commerce and Web-based Applications. Middleware. IEEE Computer Society 1999, pp. 78–83. Los Alamitos, CA, USA. Dag Johansen, Keith Marzullo, Fred B. Schneider, Kjetil Jacobsen, and Dmitrii Zagorodnov. NAP: practical fault-tolerance for itinerant computations. Proceedings. 19th IEEE International Conference on Distributed Computing Systems (Cat. No.99CB37003). IEEE Computer Society 1999, pp. 180–9. Los Alamitos, CA, USA. 2000 Meng-Jang Lin, Keith Marzullo and Stefano Massini. Gossip versus deterministically constrained flooding on small networks. In 14th International Conference on Distributed Computing (DISC 2000), Toledo, Spain, 4-6 Oct. 2000), pp. 253–267. Jeremy Sussman, Keith Marzullo and Idit Keidar. Optimistic Virtual Synchrony. In Proceedings 19th IEEE Symposium on Reliable Distributed Systems (SRDS-2000), Nürnberg, Germany, 16-18 Oct. 2000, pp. 42–51. Idit Keidar, Jeremy Sussman, Keith Marzullo and Danny Dolev. A client-server oriented algorithm for virtually synchronous group membership in WANs. In Proceedings 20th IEEE International Conference on Distributed Computing Systems, Taipei, Taiwan, 10–13 April 2000, pp. 356–365. 2001 Lorenzo Alvisi, Thomas Bressoud, Amr El-Khasab, Keith Marzullo, and Dmitrii Zagorodnov. Wrapping Server-Side to Mask Connection Failures. INFOCOMM 2001, Anchorage, Alaska, 22–26 April 2001, pp. 329–337 Vol.1. Kåre J. Lauvset, Dag Johansen and Keith Marzullo, TOS: Kernel Support for Distributed Systems Management, Proceedings of the ACM Symposium on Applied Computing (SAC), Las Vegas, NV, March 2001. Karan Bhatia, Keith Marzullo, and Lorenzo Alvisi, Scalable Causal Message Logging for Wide-Area Environments, European conference on Parallel Computing (Euro-Par), Manchester, UK, August 2001. 2002 Lorenzo Alvisi, Karan Bhatia, and Keith Marzullo, Causality tracking in causal message-logging protocols, Distributed Computing, 15(1):1-15, February 2002 Idit Keidar, Jeremy B. Sussman, Keith Marzullo,"
53,53,David (Bernini),"David is a life-size marble sculpture by Gian Lorenzo Bernini. The sculpture was one of many commissions to decorate the villa of Bernini's patron Cardinal Scipione Borghese – where it still resides today, as part of the Galleria Borghese. It was completed in the course of seven months from 1623 to 1624. The subject of the work is the biblical David, about to throw the stone that will bring down Goliath, which will allow David to behead him. Compared to earlier works on the same theme (notably the David of Michelangelo), the sculpture broke new ground in its implied movement and its psychological intensity. Background Between 1618 and 1625 Bernini was commissioned to undertake various sculptural work for the villa of one of his patrons, Cardinal Scipione Borghese. In 1623 – only yet 24 years old – he was working on the sculpture of Apollo and Daphne, when, for unknown reasons, he abandoned this project to start work on the David. According to records of payment, Bernini had started on the sculpture by mid–1623, and his contemporary biographer, Filippo Baldinucci, states that he finished it in seven months. David was Scipione Borghese's last commission for Bernini. Even before it was finished, Bernini's friend and protector Maffeo Barberini was elected pope, as Pope Urban VIII. Subject matter The sculpture shows a scene from the Old Testament First Book of Samuel. The Israelites are at war with the Philistines whose champion, Goliath, has challenged the Israelite army to settle the conflict by single combat. The young shepherd David has just taken up the challenge, and is about to slay Goliath with a stone from his sling: David's clothing is typical of shepherd's attire. At his feet lies the armour of Israel's King, Saul, given to David for battle. The armor was shed, as David was unaccustomed to it and he can fight better without. At his feet is his harp, often included as an iconographic device of David in reference to David the Psalmist and being a talented harpist. Influences The biblical David was a popular subject among Renaissance artists and had been treated by sculptors such as Donatello (1440s), Verrocchio (1473-1475) and Michelangelo (1501-1504). Bernini's David, though engaging with these works, differed from them in some significant ways. For one thing, the sculpture is no longer self-contained, but interacts with the space around it. Not since the sculptures of the Hellenistic period, such as the Winged Victory of Samothrace, had sculptures been involved in their surroundings like those of Bernini. A likely source for Bernini's figure was the Hellenistic Borghese Gladiator. The motion of the gladiator preparing to attack is similar to how David is swinging his sling. Another difference lies in the moment that Bernini has chosen to depict. Michelangelo's David differs from those of Donatello and Verrocchio in that it shows David preparing for the battle, rather than victorious afterwards. Bernini, on the other hand, chose to portray David in the act of throwing the stone. This represented a novelty; throwing figures were extremely rare in post-Antiquity sculptures. The motion motif"
54,54,Taube Tennis Center,"The Taube Tennis Center is a tennis facility located on the campus of Stanford University near Palo Alto, California. In addition to hosting the Stanford Cardinal's men's and women's tennis teams, the 17-court facility was the home of the Bank of the West Classic between 1997–2017, a WTA Tour event. The stadium court, Taube Family Tennis Stadium, has a capacity of 2,445 spectators. The facility has hosted many tennis events, including the 1999 Fed Cup final, which saw the United States defeat Russia; four NCAA Women's Tennis Championships; and the first combined NCAA Women's and Men's Tennis Championships in 2006. Since 2008, Taube has also been host to the annual USGO Gay/Lesbian tournament, held every Memorial Day weekend. See The Gay and Lesbian Tennis Alliance. External links Facility's page on GoStanford.com Photo gallery Fed Cup Final September 1999, USA vs Russia Photo gallery 2 Wikimapia Category:Stanford University buildings and structures Category:Stanford Cardinal tennis Category:Tennis venues in California Category:Sports venues in Santa Clara County, California Category:1926 establishments in California Category:Sports venues completed in 1926"
55,55,Broken Ties (1918 film),"Broken Ties is a 1918 silent film starring June Elvidge, Montagu Love, and Arthur Ashley. Ashley also directed the film. It was a William A. Brady World Pictures production. It was marketed as containing ""not one dull moment"". The film was based on Arthur M. Brilant's play The Alibi. The film received generally positive reviews. A write-up in Motography describes it as a tense drama. One aspect of the plot is a father forbidding his son from seeing a young woman believed to have mixed ethnic heritage. Cast June Elvidge as Marcia Fleming Montagu Love as John Fleming Arthur Ashley as Arnold Curtis Pinna Nesbit as Corinne La Force Alec B. Francis as Henry Hasbrook Kate Lester as Signora Lester Arthur Matthews as Signora La Force Frances Miller as Mamma Liza References External links Category:1918 films Category:American silent feature films Category:American films"
56,56,Langemark,"Langemark is a village in the Belgian province of West-Flanders, and a deelgemeente of the municipality of Langemark-Poelkapelle. The village has about 5,000 inhabitants. Besides the village center, there are also three smaller hamlets on the territory, , Bikschote and Saint-Julien/Sint-Juliaan. Written as Langemarck on French, British and German maps, the village is known in military history as the scene (see trench map) of the first gas attacks by the German army in the western front, which marked the beginning of the Second Battle of Ypres in April 1915. Before and during the First Battle of Ypres, the German reserve corps suffered enormous losses: over 10,000 young soldiers (some only 15 years old), led by young officers without practical experience, died without achieving any objective. On 10 November 1914, about 2,000 soldiers died during an attempted breakthrough. One day later, the German Command (Oberste Heeresleitung) published the following communiqué: Westlich Langemarck brachen junge Regimenter unter dem Gesange‚ Deutschland, Deutschland über alles‘ gegen die erste Linie der feindlichen Stellungen vor und nahmen sie. Etwa 2.000 Mann französischer Linieninfanterie wurden gefangengenommen und sechs Maschinengewehre erbeutet. In west Langemarck, youth regiments singing Germany, Germany Above All advanced on front line enemy positions, broke and took them. Approximately 2,000 French line infantry and six machine guns were captured. A popular and enduring myth of heroic self-sacrifice for the nation known as the ""Mythos von Langemarck"" arose from the propagandistic story. For this reason, the Flemish division of the Waffen-SS was named 27th SS Volunteer Division Langemarck. The village was completely destroyed during World War I. There is now a major German war cemetery, the Langemark German war cemetery, (Soldatenfriedhof) in this location, which has about 40,000 burials. Madonna's Pig Madonna is a hamlet of Langemark with about 1000 inhabitants. The movie Madonna's Pig is set in this hamlet, although in reality the movie was shot in Houtem. See also 27th SS Volunteer Division Langemarck Langemarck 1917 Saint Julien Memorial, to Canadian soldiers of World War I Gallery Category:Populated places in West Flanders Category:Populated places in Belgium"
57,57,Saba Qom F.C.,"Saba Qom Football Club () was an Iranian football team based in Qom, Iran. The club was dissolved in 2018. The team is a former part of Saba Battery Club, owned by Saba Battery Co., and was moved to Qom in 2007, although they were formerly registered as a team from Tehran playing at Shahid Derakhshan Stadium of Robat Karim. Saba won the 2005 edition of the Hazfi Cup and the 2005 edition of the Iranian Super Cup. History Mohemmat sazi Football Club () was Iranian football club based in Tehran, Iran. They play in the 2nd Division. Establishment In 1974 a football called Mohemat Sazi was established in Tehran. The team never had any major success and only played in the lower leagues of the Iranian football league system. They came close to making it to Tehran's top football league in the 1980s. In the early 1990s the club was sponsored by a company named Maham. During the later stages of the club's history they were sponsored by Sanam, an electronics company. Takeover In 2002 the club's shares were sold to Saba Battery Company (also known as Niru Company) which is under the control of Iran's Ministry of Defense. Due to the club's greatly improved financial status the team was able to purchase talented players and were promoted to the Iran Pro League in 2004. Domestic Titles 2004–2005 In the first year of participation in Iran Pro League, Saba Battery managed to participate in the AFC Champions League for the first time ever, After becoming champions of the Hazfi Cup under Milan Živadinović. In the 2005 season Saba Battery also won the Iranian Super Cup, defeating Foolad the Iran Pro League champion 4–0. And until 2016 they remained the only team to have the title. 2006–2007 Although Saba Battery did not have a successful year in Iran Pro League, they were competitive in the Hazfi Cup. Saba Battery became Runners-up after losing to Sepahan 4–2 in aggregate, with Mohammad Hossein Ziaei. Since Sepahan became 5th in the Iran Pro League, that meant that Saba Battery won't be going to AFC Champions League. Iran Pro League The team debuted in the Iran Pro League in the 2004–05 season and made the headlines when they signed Iranian legend and FIFA all-time greatest international goalscorer Ali Daei from Persepolis. With the help of Daei the team was able to secure a berth for the Asian Champions League after winning the 2005 Hazfi Cup, however failing to make it out of their group. In the same year Saba won the Iranian Super Cup defeating league champions Foolad 4–0. After the departure of Ali Daei in 2006, Saba signed former Bosnia and Herzegovina international Alen Avdić as his replacement. In 2007 Saba once again made the final of the Hazfi Cup, this time losing 4–0 to Sepahan on aggregate. Move to Qom In 2008 Saba relocated to Qom because the city of Tehran had many football teams with low attendance figures. The team was renamed Saba Qom after the move. Saba was one of the few"
58,58,Leschenaultia bicolor,Leschenaultia bicolor is a species of bristle fly in the family Tachinidae. It is found in North America. References Further reading Category:Exoristinae Category:Articles created by Qbugbot Category:Insects described in 1846
